Date,Open,High,Low,Close,Volume,Adj Close
2017-03-29,59.959999,60.25,59.470001,59.77,1481500,59.77
2017-03-28,59.279999,60.77,59.02,60.209999,2887500,59.831998
2017-03-27,58.439999,59.720001,57.970001,59.50,2824700,59.126457
2017-03-24,61.419998,61.779999,59.43,59.759998,2830700,59.384823
2017-03-23,62.16,62.48,60.869999,61.259998,2182100,60.875406
2017-03-22,61.639999,62.43,61.189999,62.139999,2563700,61.749882
2017-03-21,64.669998,64.879997,61.209999,61.330002,4247100,60.94497
2017-03-20,64.580002,64.739998,63.830002,64.669998,1794600,64.263997
2017-03-17,64.82,65.830002,64.400002,64.720001,6201500,64.313687
2017-03-16,65.669998,66.00,64.489998,64.599998,5324600,64.194437
2017-03-15,61.25,63.59,61.25,63.450001,3792800,63.051659
2017-03-14,60.32,60.880001,60.009998,60.73,1581300,60.348734
2017-03-13,61.009998,61.34,60.450001,60.709999,1950300,60.328859
2017-03-10,61.060001,61.419998,60.459999,60.619999,2553900,60.239424
2017-03-09,60.540001,61.23,60.009998,60.540001,2305200,60.159928
2017-03-08,60.970001,61.439999,60.619999,60.970001,2339500,60.587229
2017-03-07,62.779999,63.110001,60.880001,60.93,2637300,60.547479
2017-03-06,61.860001,63.040001,61.650002,62.810001,2358100,62.415678
2017-03-03,62.630001,62.959999,62.09,62.639999,2353700,62.246743
2017-03-02,63.849998,63.950001,62.59,62.639999,2578200,62.246743
2017-03-01,64.25,64.68,63.720001,64.010002,3239000,63.608145
2017-02-28,62.619999,63.110001,62.200001,62.57,2325100,62.177183
2017-02-27,61.029999,63.119999,61.029999,62.639999,2652000,62.246743
2017-02-24,60.369999,61.34,60.169998,60.860001,2228700,60.477919
2017-02-23,63.709999,63.84,60.610001,60.889999,3009600,60.50773
2017-02-22,64.00,64.050003,63.07,63.240002,3090400,62.842979
2017-02-21,64.50,65.400002,64.260002,64.489998,2908300,64.085127
2017-02-17,63.48,63.970001,62.700001,63.900002,2225000,63.498835
2017-02-16,63.889999,64.32,63.080002,63.610001,2174800,63.210655
2017-02-15,63.18,64.68,63.110001,63.869999,2963600,63.469021
2017-02-14,63.290001,63.50,62.400002,63.09,2665100,62.693919
2017-02-13,62.360001,63.98,62.240002,63.59,4343100,63.19078
2017-02-10,61.630001,61.900002,60.66,60.990002,5096300,60.607104
2017-02-09,58.279999,60.98,58.279999,60.970001,5505500,60.587229
2017-02-08,57.57,58.32,57.200001,58.279999,2408000,57.914115
2017-02-07,58.470001,58.75,57.529999,57.650002,2218000,57.288073
2017-02-06,57.50,58.200001,57.50,57.849998,2644000,57.486814
2017-02-03,57.389999,58.09,56.66,57.349998,2570000,56.989953
2017-02-02,57.029999,57.639999,56.709999,57.490002,3051900,57.129077
2017-02-01,58.57,59.290001,56.189999,56.93,4771600,56.572592
2017-01-31,59.810001,59.849998,57.130001,58.09,9225900,57.725309
2017-01-30,60.540001,60.790001,59.029999,60.099998,4340000,59.722688
2017-01-27,60.799999,61.23,60.18,61.009998,2585200,60.626975
2017-01-26,59.639999,60.799999,59.41,60.709999,3238900,60.328859
2017-01-25,60.779999,60.84,59.02,59.709999,6208900,59.335137
2017-01-24,61.02,62.34,60.779999,60.919998,4368700,60.53754
2017-01-23,61.18,61.330002,59.50,60.060001,3026300,59.682942
2017-01-20,60.48,61.139999,60.209999,60.990002,2802400,60.607104
2017-01-19,62.02,62.25,59.799999,60.150002,2892000,59.772378
2017-01-18,60.290001,62.439999,60.049999,62.380001,3744100,61.988377
2017-01-17,60.360001,60.700001,59.720001,60.139999,1534000,59.762438
2017-01-13,60.490002,61.290001,60.169998,60.369999,1475000,59.990994
2017-01-12,60.759998,61.130001,59.970001,60.610001,2469500,60.229489
2017-01-11,61.450001,61.790001,60.540001,61.189999,2085800,60.805845
2017-01-10,60.400002,61.470001,59.650002,61.220001,3987400,60.83566
2017-01-09,60.880001,61.540001,59.52,59.639999,3589700,59.265577
2017-01-06,60.880001,61.860001,60.279999,60.290001,3057700,59.911498
2017-01-05,61.119999,62.599998,60.619999,60.900002,3884600,60.517669
2017-01-04,59.759998,61.290001,59.130001,61.25,3568600,60.86547
2017-01-03,59.740002,60.869999,59.02,59.610001,3698200,59.235767
