PERMNO,date,TICKER,PRC,SHROUT
10107,20120131,MSFT,29.53000,8390771
10107,20120229,MSFT,31.74000,8390771
10107,20120330,MSFT,32.25500,8400000
10107,20120430,MSFT,32.01500,8400866
10107,20120531,MSFT,29.19000,8400866
10107,20120629,MSFT,30.59000,8381000
10107,20120731,MSFT,29.47000,8383397
10107,20120831,MSFT,30.82000,8383397
10107,20120928,MSFT,29.76000,8422000
10107,20121031,MSFT,28.54000,8416462
10107,20121130,MSFT,26.61500,8416462
10107,20121231,MSFT,26.70970,8374000
10107,20130131,MSFT,27.45000,8376245
10107,20130228,MSFT,27.80000,8376245
10107,20130328,MSFT,28.60500,8349000
10107,20130430,MSFT,33.10000,8351107
10107,20130531,MSFT,34.90000,8351107
10107,20130628,MSFT,34.54500,8328000
10107,20130731,MSFT,31.84000,8329956
10107,20130830,MSFT,33.40000,8329956
10107,20130930,MSFT,33.28000,8346000
10107,20131031,MSFT,35.40500,8347968
10107,20131129,MSFT,38.13000,8347968
10107,20131231,MSFT,37.41000,8300000
10107,20140131,MSFT,37.84000,8300724
10107,20140228,MSFT,38.31000,8300724
10107,20140331,MSFT,40.99000,8260000
10107,20140430,MSFT,40.40000,8260412
10107,20140530,MSFT,40.94000,8260412
10107,20140630,MSFT,41.70000,8239000
10107,20140731,MSFT,43.16000,8239849
10107,20140829,MSFT,45.43000,8239849
10107,20140930,MSFT,46.36000,8255024
10107,20141031,MSFT,46.95000,8242853
10107,20141128,MSFT,47.81000,8242853
10107,20141231,MSFT,46.45000,8218000
10107,20150130,MSFT,40.40000,8203785
10107,20150227,MSFT,43.85000,8203785
10107,20150331,MSFT,40.65500,8113000
10107,20150430,MSFT,48.64000,8089575
10107,20150529,MSFT,46.86000,8089575
10107,20150630,MSFT,44.15000,8027000
10107,20150731,MSFT,46.70000,7997981
10107,20150831,MSFT,43.52000,7997981
10107,20150930,MSFT,44.26000,7986000
10107,20151030,MSFT,52.64000,7987913
10107,20151130,MSFT,54.35000,7987913
10107,20151231,MSFT,55.48000,7925000
10107,20160129,MSFT,55.09000,7909303
10107,20160229,MSFT,50.88000,7909303
10107,20160331,MSFT,55.23000,7870000
10107,20160429,MSFT,49.87000,7860467
10107,20160531,MSFT,53.00000,7860467
10107,20160630,MSFT,51.17000,7808000
10107,20160729,MSFT,56.68000,7792515
10107,20160831,MSFT,57.46000,7792515
10107,20160930,MSFT,57.60000,7779737
10107,20161031,MSFT,59.92000,7775351
10107,20161130,MSFT,60.26000,7775351
10107,20161230,MSFT,62.14000,7775351
12490,20120131,IBM,192.60001,1160000
12490,20120229,IBM,196.73000,1158662
12490,20120330,IBM,208.64999,1158662
12490,20120430,IBM,207.08000,1153484
12490,20120531,IBM,192.89999,1153484
12490,20120629,IBM,195.58000,1153484
12490,20120731,IBM,195.98000,1142775
12490,20120831,IBM,194.85001,1142775
12490,20120928,IBM,207.45000,1142775
12490,20121031,IBM,194.53000,1129932
12490,20121130,IBM,190.07001,1129932
12490,20121231,IBM,191.55000,1129932
12490,20130131,IBM,203.07001,1129932
12490,20130228,IBM,200.83000,1114510
12490,20130328,IBM,213.30000,1114510
12490,20130430,IBM,202.53999,1108794
12490,20130531,IBM,208.02000,1108794
12490,20130628,IBM,191.11000,1108794
12490,20130731,IBM,195.03999,1095426
12490,20130830,IBM,182.27000,1095426
12490,20130930,IBM,185.17999,1095426
12490,20131031,IBM,179.21001,1085854
12490,20131129,IBM,179.67999,1085854
12490,20131231,IBM,187.57001,1085854
12490,20140131,IBM,176.67999,1085854
12490,20140228,IBM,185.17000,1041341
12490,20140331,IBM,192.49001,1041341
12490,20140430,IBM,196.47000,1012183
12490,20140530,IBM,184.36000,1012183
12490,20140630,IBM,181.27000,1012183
12490,20140731,IBM,191.67000,997592
12490,20140829,IBM,192.30000,997592
12490,20140930,IBM,189.83000,997592
12490,20141031,IBM,164.39999,989660
12490,20141128,IBM,162.17000,989660
12490,20141231,IBM,160.44000,989660
12490,20150130,IBM,153.31000,991000
12490,20150227,IBM,161.94000,988424
12490,20150331,IBM,160.50000,988424
12490,20150430,IBM,171.28999,984734
12490,20150529,IBM,169.64999,984734
12490,20150630,IBM,162.66000,984734
12490,20150731,IBM,161.99001,979530
12490,20150831,IBM,147.89000,979530
12490,20150930,IBM,144.97000,979530
12490,20151030,IBM,140.08000,970110
12490,20151130,IBM,139.42000,970110
12490,20151231,IBM,137.62000,970110
12490,20160129,IBM,124.79000,970110
12490,20160229,IBM,131.03000,960881
12490,20160331,IBM,151.45000,960881
12490,20160429,IBM,145.94000,959962
12490,20160531,IBM,153.74001,959962
12490,20160630,IBM,151.78000,959962
12490,20160729,IBM,160.62000,955844
12490,20160831,IBM,158.88000,955844
12490,20160930,IBM,158.85001,955844
12490,20161031,IBM,153.69000,950855
12490,20161130,IBM,162.22000,950855
12490,20161230,IBM,165.99001,950855
14593,20120131,AAPL,456.48001,932370
14593,20120229,AAPL,542.44000,932370
14593,20120330,AAPL,599.54999,934982
14593,20120430,AAPL,583.97998,935062
14593,20120531,AAPL,577.72998,935062
14593,20120629,AAPL,584.00000,937266
14593,20120731,AAPL,610.76001,937406
14593,20120831,AAPL,665.23999,937406
14593,20120928,AAPL,667.10498,939208
14593,20121031,AAPL,595.32001,940692
14593,20121130,AAPL,585.28003,940692
14593,20121231,AAPL,532.17291,938973
14593,20130131,AAPL,455.48999,939058
14593,20130228,AAPL,441.39999,939058
14593,20130328,AAPL,442.66000,940094
14593,20130430,AAPL,442.78000,938649
14593,20130531,AAPL,449.73499,938649
14593,20130628,AAPL,396.53000,908442
14593,20130731,AAPL,452.53000,908497
14593,20130830,AAPL,487.21600,908497
14593,20130930,AAPL,476.75000,899213
14593,20131031,AAPL,522.70203,899738
14593,20131129,AAPL,556.07001,899738
