Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
JNPR,Juniper Networks,Information Technology,25.24,1.57,,-1.02,11.05,18.41,29.13,9.7,0.8807,2.19,2.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNPR
TRIP,TripAdvisor,Consumer Discretionary,67.27,,46.39,1.45,8.61,62.5,94.75,9.69,0.356,6.99,7.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRIP
DGX,Quest Diagnostics,Health Care,66.38,2.27,19.44,3.41,29.96,56.27,89,9.53,1.47,1.28,2.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DGX
CTAS,Cintas Corp,Industrials,86.27,0.98,23.75,3.63,17.3,65.79,89.74,9.51,0.85149,2.15,5.05,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS
CHRW,C.H. Robinson Worldwide,Industrials,66.95,2.25,20.34,3.29,7.66,61.46,77.49,9.49,0.85351,0.71,8.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW
HAS,Hasbro,Consumer Discretionary,75.82,2.39,23.08,3.29,11.44,51.42,84.42,9.47,0.8048,2.25,6.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAS
WU,Western Union,Information Technology,18.45,3.34,11.44,1.61,2.55,15.32,22.84,9.44,1.41,1.73,7.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WU
RL,Ralph Lauren Corp,Consumer Discretionary,109.97,1.74,16.11,6.83,44.42,104.34,187.49,9.42,1.24,1.27,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RL
KSS,Kohl's Corp,Consumer Discretionary,48.37,3.66,12.67,3.82,28.96,48.33,79.6,9.41,2.57,0.5,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KSS
AMG,Affiliated Managers Group,Financials,171.57,,18.31,9.37,48.84,170.17,230.63,9.31,0.9901,3.73,3.6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG
CMS,CMS Energy,Utilities,33.66,3.44,20.14,1.67,13.8,29.15,38.66,9.31,1.79,1.41,2.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS
LLTC,Linear Technology Corp,Information Technology,38.85,3.01,18.33,2.12,6.58,36.41,49.57,9.31,0.7368,6.46,6.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLTC
PVH,PVH Corp,Consumer Discretionary,111.77,0.13,18.89,5.92,53.36,93.8,129.17,9.23,0.9533,1.16,2.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PVH
DOV,Dover Corp,Industrials,58.93,2.76,10.27,5.74,22.96,55.5,83.9,9.22,1.44,1.26,2.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
CVC,Cablevision Systems,Consumer Discretionary,33.11,1.81,36.3,0.91,-17.94,16.94,33.27,9.15,1.79,1.4,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVC
BLL,Ball Corp,Materials,65.73,0.78,22.99,2.86,8.24,57.95,77.2,9.08,1.11,1.11,8.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL
BWA,Borg Warner,Consumer Discretionary,40.02,1.21,14.4,2.78,16.29,39.35,63.3,9.06,1.35,1.2,2.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
PNR,Pentair plc,Industrials,50.33,2.51,47.44,1.06,25.28,49.75,69.65,9.06,1.14,1.36,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNR
SNA,Snap-On,Industrials,155.07,1.36,20.35,7.62,39.56,111.28,170.7,9.02,0.7959,2.56,3.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNA
MAS,Masco Corp,Industrials,26.54,1.32,11.67,2.28,-0.14,17.43,28.59,9,1.06,1.08,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAS
HRS,Harris Corp,Information Technology,72.245,2.73,23.23,3.11,27.467,60.78,84.78,8.96,1.1,1.794,2.676,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRS
WYN,Wyndham Worldwide,Consumer Discretionary,75.1,2.21,16.23,4.63,9.02,69.86,94.35,8.87,1.27,1.67,8.47,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WYN
MCHP,Microchip Technology,Information Technology,41.9401,3.35,22.7194,1.846,10.37,36.92,52.44,8.85,0.73017,4.1912,4.1205,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCHP
NTAP,NetApp,Information Technology,29.82,2.3,21.21,1.41,10.1,28.88,43.67,8.79,0.7205,1.54,3.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NTAP
