Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
LM,Legg Mason,Financials,41.81,1.8,18.48,2.26,41.06,40.6,59.19,4.59,0.5885,1.66,1.05,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LM
NAVI,Navient Corp,Financials,12.205,5.06,4.52,2.7,10.504,11.79,22.71,4.57,0,1.876,1.204,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NAVI
FSLR,First Solar,Information Technology,44.36,,14.35,3.09,49.97,39.18,69.2,4.48,0.52118,1.4,0.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FSLR
PDCO,PattersonCompanies,Health Care,44.75,1.96,22.01,2.03,15.23,39.28,53.07,4.45,0.44047,0.98,2.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PDCO
THC,Tenet Healthcare,Health Care,43.795,0,78.627,0.557,8.085,41.47,63.23,4.36,2.19,0.248,5.414,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=THC
GME,GameStop Corp,Consumer Discretionary,41.15,3.41,11.27,3.65,18.58,31.69,47.83,4.34,0.82,0.47,2.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GME
R,Ryder System,Industrials,78.89,2.03,18.04,4.37,35.85,75.56,100.64,4.21,1.7,0.66,2.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=R
PBI,Pitney Bowes,Industrials,19.955,3.64,9.493,2.102,0.946,18.59,25.68,4.03,0.84529,1.116,21.607,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBI
TDC,Teradata Corp,Information Technology,28.3,,,-0.21,8.38,27.7,47.03,4.01,0.486,1.55,3.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDC
FLIR,FLIR Systems,Information Technology,27.82,1.55,17.7,1.57,11.69,26.34,34.46,3.9,0.35066,2.57,2.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLIR
DNB,Dun & Bradstreet,Industrials,104.4901,1.76,19.7337,5.295,-34.015,100.02,137.25,3.77,0.4361,2.2669,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DNB
URBN,Urban Outfitters,Consumer Discretionary,29.19,,17.09,1.71,9.84,27.89,47.25,3.62,0.49061,1.08,3.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URBN
ESV,ENSCO Plc,Energy,15.19,3.88,,-10.56,37.12,14.2,44.02,3.58,2.41,0.8,0.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESV
OI,Owens-Illinois,Materials,21.68,,,-0.18,6.11,19.41,27.59,3.49,0.93,0.56,3.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OI
FOSL,Fossil Group,Consumer Discretionary,58.37,,8.47,6.89,17.25,56.01,115.2,2.81,0.62821,0.83,3.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOSL
CNX,CONSOL Energy,Energy,12.15,0.31,,-1.97,20.44,11.46,42.26,2.78,0.85361,0.94,0.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNX
DO,Diamond Offshore Drilling,Energy,19.95,2.48,,-0.11,31.04,19.39,40.74,2.74,1.1,1.05,0.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DO
NE,Noble Corp,Energy,11.2401,13.08,,-0.585,27.403,10.52,24.05,2.72,1.65,0.8753,0.4156,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NE
GNW,Genworth Financial,Financials,4.758,0,,-3.31,27.545,4.23,14.1,2.37,0.0175,0.255,0.178,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GNW
QEP,QEP Resources,Energy,12.86,0.61,3.25,3.96,22.34,11.2,31.49,2.27,1.56,0.81,0.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QEP
ATI,Allegheny Technologies,Materials,16.07,4.17,120.83,0.13,23.66,16.05,42.13,1.75,0.3144,0.43,0.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATI
JOY,Joy Global,Industrials,16.91,4.63,6.81,2.48,28.15,16.66,57.71,1.65,0.5444,0.49,0.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JOY
BRK-B,Berkshire Hathaway,Financials,129.02,,17.72,7.28,149697.16,125.5,152.94,0.21198,36.76,0,0,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK-B
